fecha,cantidad,laboratorio,porcentaje
23/12/2020,9750,Pfizer,0.14
30/12/2020,11700,Pfizer,0.30
5/1/2021,33150,Pfizer,0.77
12/1/2021,33150,Pfizer,1.23
19/1/2021,16575,Pfizer,1.46
16/2/2021,79560,Pfizer,2.58
23/2/2021,92430,Pfizer,3.88
2/3/2021,109980,Pfizer,5.42
9/3/2021,86580,Pfizer,6.63
16/3/2021,84240,Pfizer,7.81
23/3/2021,119340,Pfizer,9.48 
30/3/2021,73710,Pfizer,
5/4/2021,115830,Pfizer,
13/4/2021,113490,Pfizer,
7/4/2021,43200,AstraZeneca,
19/4/2021,118170,Pfizer,
27/4/2021,117000,Pfizer,
4/5/2021,124020,Pfizer,
11/5/2021,124020,Pfizer,
13/5/2021,88800,AstraZeneca,
19/5/2021,174330,Pfizer,
23/5/2021,204000,AstraZeneca,
25/5/2021,175500,Pfizer,
3/6/2021,75652,Pfizer,
6/6/2021,204000,AstraZeneca,
10/6/2021,79560,Pfizer,
17/6/2021,80730,Pfizer,
24/6/2021,40950,Pfizer,
24/6/2021,80730,Pfizer,
1/7/2021,80730,Pfizer,
